整理番号,調達機関名,調達機関所在地,調達件名,契約年月日,契約相手方名称,契約相手方所在地,法人番号,落札金額
GOV-TX-001160,防衛省,東京都,クラウド基盤提供サービス,2023-02-23,富士通株式会社,東京都,1234567890123,1350000
GOV-TX-001161,厚生労働省,東京都,ネットワーク機器調達,2020-12-07,富士通（株）,東京都,1234567890123,1150000
GOV-TX-001162,外務省,東京都,広報Webサイト制作,2021-11-26,株式会社日本開発,東京都,1234567890123,3900000
GOV-TX-001163,総務省,東京都,ソフトウェアライセンス更新,2023-04-08,株式会社サイバー建設,東京都,1234567890123,1000000
GOV-TX-001164,内閣府,東京都,ヘルプデスク運営業務,2020-10-09,株式会社第一システムズ,東京都,1234567890123,1090000
GOV-TX-001165,株式会社第一研究所,東京都,データ分析支援業務,2024-02-03,株式会社グローバル研究所,東京都,1234567890123,1070000
GOV-TX-001166,外務省,東京都,ネットワーク機器調達,2022-02-02,株式会社システム商事,東京都,1234567890123,3030000
GOV-TX-001167,厚生労働省,東京都,AI実証実験システム構築,2021-11-03,日立製作所,東京都,1234567890123,1230000
GOV-TX-001168,内閣府,東京都,システム更改に伴う開発業務,2023-11-29,（株）総合サービス,東京都,1234567890123,1340000
GOV-TX-001169,総務省,東京都,広報Webサイト制作,2021-03-12,富士通株式会社,東京都,1234567890123,1220000
GOV-TX-001170,株式会社AI商事,東京都,データ分析支援業務,2023-08-30,株式会社グローバル建設,東京都,1234567890123,5280000
GOV-TX-001171,外務省,東京都,PC端末等の調達,2024-04-12,（株）総合建設,東京都,1234567890123,2250000
GOV-TX-001172,株式会社ベータサービス,東京都,PC端末等の調達,2023-04-17,株式会社クリエイティブサービス,東京都,1234567890123,1080000
GOV-TX-001173,国土交通省,東京都,システム更改に伴う開発業務,2021-06-16,株式会社第一ソリューションズ,東京都,1234567890123,1690000
GOV-TX-001174,株式会社アルファ研究所,東京都,システム更改に伴う開発業務,2020-07-06,株式会社ソリューション開発,東京都,1234567890123,1050000
GOV-TX-001175,国土交通省,東京都,広報Webサイト制作,2021-08-11,（株）サイバー開発,東京都,1234567890123,2500000
GOV-TX-001176,株式会社ソリューション研究所,東京都,基幹システム保守運用業務,2023-01-15,株式会社総合システムズ,東京都,1234567890123,1290000
GOV-TX-001177,株式会社ベータ開発,東京都,クラウド基盤提供サービス,2024-02-28,株式会社データ建設,東京都,1234567890123,7920000
GOV-TX-001178,文部科学省,東京都,システム更改に伴う開発業務,2024-08-31,（株）ネットワークコンサルティング,東京都,1234567890123,8440000
GOV-TX-001179,総務省,東京都,システム更改に伴う開発業務,2021-07-25,株式会社データ研究所,東京都,1234567890123,7030000
GOV-TX-001180,文部科学省,東京都,広報Webサイト制作,2022-11-02,株式会社アルファコンサルティング,東京都,1234567890123,1450000
GOV-TX-001181,経済産業省,東京都,ネットワーク機器調達,2021-05-06,株式会社データ研究所,東京都,1234567890123,2040000
GOV-TX-001182,外務省,東京都,広報Webサイト制作,2024-04-18,株式会社データ建設,東京都,1234567890123,1340000
GOV-TX-001183,防衛省,東京都,基幹システム保守運用業務,2021-11-18,（株）サイバー通信,東京都,1234567890123,1230000
GOV-TX-001184,厚生労働省,東京都,データ分析支援業務,2021-04-29,（株）AI商事,東京都,1234567890123,1820000
GOV-TX-001185,株式会社第一開発,東京都,PC端末等の調達,2023-10-27,株式会社シグマサービス,東京都,1234567890123,1140000
GOV-TX-001186,文部科学省,東京都,調査研究委託費,2024-09-05,株式会社オメガ開発,東京都,1234567890123,1080000
GOV-TX-001187,国土交通省,東京都,データ分析支援業務,2020-06-23,株式会社システム開発,東京都,1234567890123,2410000
GOV-TX-001188,文部科学省,東京都,AI実証実験システム構築,2023-02-02,株式会社オメガシステムズ,東京都,1234567890123,1210000
GOV-TX-001189,文部科学省,東京都,クラウド基盤提供サービス,2022-07-02,株式会社ソリューション建設,東京都,1234567890123,1160000
GOV-TX-001190,株式会社総合建設,東京都,ソフトウェアライセンス更新,2020-06-06,富士通株式会社,東京都,1234567890123,1250000
GOV-TX-001191,総務省,東京都,ソフトウェアライセンス更新,2022-05-02,株式会社サイバーシステムズ,東京都,1234567890123,28160000
GOV-TX-001192,文部科学省,東京都,基幹システム保守運用業務,2020-09-01,株式会社野村総合研究所(NRI),東京都,1234567890123,1020000
GOV-TX-001193,デジタル庁,東京都,データ分析支援業務,2025-02-27,株式会社日本通信,東京都,1234567890123,1100000
GOV-TX-001194,厚生労働省,東京都,データ分析支援業務,2024-08-04,株式会社システムコンサルティング,東京都,1234567890123,3040000
GOV-TX-001195,デジタル庁,東京都,クラウド基盤提供サービス,2024-11-02,株式会社ITシステムズ,東京都,1234567890123,1290000
GOV-TX-001196,内閣府,東京都,ソフトウェアライセンス更新,2020-05-26,株式会社IT開発,東京都,1234567890123,1290000
GOV-TX-001197,株式会社大和通信,東京都,クラウド基盤提供サービス,2022-02-22,株式会社ソリューション商事,東京都,1234567890123,1280000
GOV-TX-001198,外務省,東京都,調査研究委託費,2020-06-16,株式会社ベータコンサルティング,東京都,1234567890123,1300000
GOV-TX-001199,厚生労働省,東京都,ヘルプデスク運営業務,2021-11-21,株式会社フロンティア建設,東京都,1234567890123,1120000
GOV-TX-001200,文部科学省,東京都,セキュリティ監査業務,2021-01-21,株式会社シグマ通信,東京都,1234567890123,1080000
GOV-TX-001201,デジタル庁,東京都,システム更改に伴う開発業務,2022-06-08,株式会社クラウドコンサルティング,東京都,1234567890123,1060000
GOV-TX-001202,防衛省,東京都,データ分析支援業務,2021-09-19,株式会社AI研究所,東京都,1234567890123,4190000
GOV-TX-001203,国土交通省,東京都,PC端末等の調達,2022-02-26,株式会社日本システムズ,東京都,1234567890123,3000000
GOV-TX-001204,株式会社クラウド建設,東京都,ネットワーク機器調達,2024-06-04,株式会社システムコンサルティング,東京都,1234567890123,1470000
GOV-TX-001205,文部科学省,東京都,システム更改に伴う開発業務,2024-07-06,（株）IT開発,東京都,1234567890123,3700000
GOV-TX-001206,文部科学省,東京都,広報Webサイト制作,2022-06-01,株式会社日本建設,東京都,1234567890123,1090000
GOV-TX-001207,厚生労働省,東京都,AI実証実験システム構築,2022-06-03,株式会社データシステムズ,東京都,1234567890123,1030000
GOV-TX-001208,株式会社大和ソリューションズ,東京都,基幹システム保守運用業務,2023-06-16,株式会社ネットワーク研究所,東京都,1234567890123,5860000
GOV-TX-001209,厚生労働省,東京都,広報Webサイト制作,2022-06-03,株式会社日本研究所,東京都,1234567890123,1380000
GOV-TX-001210,株式会社オメガ商事,東京都,広報Webサイト制作,2021-02-20,（株）サイバー商事,東京都,1234567890123,1680000
GOV-TX-001211,財務省,東京都,調査研究委託費,2023-10-26,株式会社サイバーソリューションズ,東京都,1234567890123,1020000
GOV-TX-001212,株式会社アルファサービス,東京都,基幹システム保守運用業務,2022-02-05,（株）データコンサルティング,東京都,1234567890123,1110000
GOV-TX-001213,内閣府,東京都,ネットワーク機器調達,2021-01-16,株式会社データシステムズ,東京都,1234567890123,1050000
GOV-TX-001214,経済産業省,東京都,セキュリティ監査業務,2023-06-30,株式会社データシステムズ,東京都,1234567890123,1110000
GOV-TX-001215,文部科学省,東京都,ヘルプデスク運営業務,2024-05-14,株式会社シグマコンサルティング,東京都,1234567890123,4550000
GOV-TX-001216,経済産業省,東京都,広報Webサイト制作,2024-05-17,株式会社データコンサルティング,東京都,1234567890123,1070000
GOV-TX-001217,文部科学省,東京都,データ分析支援業務,2024-04-11,株式会社サイバー建設,東京都,1234567890123,2480000
GOV-TX-001218,文部科学省,東京都,PC端末等の調達,2020-05-05,株式会社ベータ建設,東京都,1234567890123,3040000
GOV-TX-001219,財務省,東京都,調査研究委託費,2022-10-19,株式会社テクノ開発,東京都,1234567890123,1550000
GOV-TX-001220,株式会社ITソリューションズ,東京都,調査研究委託費,2024-12-10,株式会社フロンティアシステムズ,東京都,1234567890123,1090000
GOV-TX-001221,総務省,東京都,調査研究委託費,2021-04-28,（株）AI通信,東京都,1234567890123,1120000
GOV-TX-001222,株式会社システムコンサルティング,東京都,ソフトウェアライセンス更新,2024-01-01,株式会社日本サービス,東京都,1234567890123,1450000
GOV-TX-001223,デジタル庁,東京都,データ分析支援業務,2022-02-25,株式会社オメガコンサルティング,東京都,1234567890123,1770000
GOV-TX-001224,株式会社クラウド建設,東京都,基幹システム保守運用業務,2020-12-16,株式会社AI通信,東京都,1234567890123,1370000
GOV-TX-001225,株式会社大和コンサルティング,東京都,広報Webサイト制作,2021-08-05,（株）サイバーソリューションズ,東京都,1234567890123,1780000
GOV-TX-001226,財務省,東京都,システム更改に伴う開発業務,2022-09-25,株式会社AI開発,東京都,1234567890123,1430000
GOV-TX-001227,株式会社フロンティア建設,東京都,ネットワーク機器調達,2020-07-13,株式会社データ建設,東京都,1234567890123,5830000
GOV-TX-001228,防衛省,東京都,基幹システム保守運用業務,2022-05-11,株式会社サイバーコンサルティング,東京都,1234567890123,1330000
GOV-TX-001229,外務省,東京都,ソフトウェアライセンス更新,2021-10-30,株式会社データ研究所,東京都,1234567890123,2900000
GOV-TX-001230,デジタル庁,東京都,データ分析支援業務,2024-01-06,株式会社データ研究所,東京都,1234567890123,1490000
GOV-TX-001231,国土交通省,東京都,広報Webサイト制作,2022-03-14,株式会社ベータソリューションズ,東京都,1234567890123,2220000
GOV-TX-001232,株式会社データ研究所,東京都,データ分析支援業務,2021-12-02,株式会社大和研究所,東京都,1234567890123,1070000
GOV-TX-001233,防衛省,東京都,AI実証実験システム構築,2022-03-23,株式会社サイバーサービス,東京都,1234567890123,1150000
GOV-TX-001234,内閣府,東京都,クラウド基盤提供サービス,2024-09-11,株式会社グローバル開発,東京都,1234567890123,3980000
GOV-TX-001235,株式会社大和ソリューションズ,東京都,ヘルプデスク運営業務,2021-06-14,株式会社シグマ通信,東京都,1234567890123,1260000
GOV-TX-001236,デジタル庁,東京都,調査研究委託費,2023-08-31,株式会社ソリューション商事,東京都,1234567890123,1850000
GOV-TX-001237,国土交通省,東京都,クラウド基盤提供サービス,2023-11-17,株式会社シグマ研究所,東京都,1234567890123,1060000
GOV-TX-001238,経済産業省,東京都,クラウド基盤提供サービス,2023-09-21,株式会社オメガソリューションズ,東京都,1234567890123,1060000
GOV-TX-001239,内閣府,東京都,ヘルプデスク運営業務,2022-02-09,株式会社大和開発,東京都,1234567890123,1950000
GOV-TX-001240,内閣府,東京都,クラウド基盤提供サービス,2022-04-30,株式会社アルファ通信,東京都,1234567890123,2520000
GOV-TX-001241,国土交通省,東京都,データ分析支援業務,2020-04-13,株式会社フロンティアコンサルティング,東京都,1234567890123,1660000
GOV-TX-001242,株式会社ベータ開発,東京都,AI実証実験システム構築,2025-01-11,株式会社サイバーコンサルティング,東京都,1234567890123,1060000
GOV-TX-001243,経済産業省,東京都,AI実証実験システム構築,2025-03-24,株式会社シグマ通信,東京都,1234567890123,1100000
GOV-TX-001244,防衛省,東京都,クラウド基盤提供サービス,2022-07-14,株式会社クラウド商事,東京都,1234567890123,2620000
GOV-TX-001245,国土交通省,東京都,ヘルプデスク運営業務,2022-12-10,株式会社クリエイティブシステムズ,東京都,1234567890123,1010000
GOV-TX-001246,厚生労働省,東京都,調査研究委託費,2022-03-22,（株）AIコンサルティング,東京都,1234567890123,1290000
GOV-TX-001247,株式会社ネットワークシステムズ,東京都,広報Webサイト制作,2024-03-05,（株）システム建設,東京都,1234567890123,2810000
GOV-TX-001248,防衛省,東京都,調査研究委託費,2024-04-19,富士通株式会社,東京都,1234567890123,2240000
GOV-TX-001249,株式会社ベータ通信,東京都,システム更改に伴う開発業務,2023-11-16,株式会社シグマシステムズ,東京都,1234567890123,1470000
GOV-TX-001250,厚生労働省,東京都,ヘルプデスク運営業務,2023-03-17,株式会社IT通信,東京都,1234567890123,1120000
GOV-TX-001251,厚生労働省,東京都,基幹システム保守運用業務,2023-08-10,株式会社クリエイティブ開発,東京都,1234567890123,2420000
GOV-TX-001252,財務省,東京都,セキュリティ監査業務,2024-04-12,株式会社テクノ建設,東京都,1234567890123,1100000
GOV-TX-001253,株式会社第一システムズ,東京都,AI実証実験システム構築,2023-03-05,株式会社シグマ通信,東京都,1234567890123,4960000
GOV-TX-001254,株式会社サイバー商事,東京都,基幹システム保守運用業務,2022-12-17,日立製作所,東京都,1234567890123,2750000
GOV-TX-001255,経済産業省,東京都,広報Webサイト制作,2020-05-16,株式会社総合建設,東京都,1234567890123,1400000
GOV-TX-001256,外務省,東京都,ヘルプデスク運営業務,2022-05-16,（株）日本建設,東京都,1234567890123,1210000
GOV-TX-001257,株式会社サイバー開発,東京都,広報Webサイト制作,2025-03-21,株式会社総合開発,東京都,1234567890123,1360000
GOV-TX-001258,財務省,東京都,クラウド基盤提供サービス,2022-04-24,株式会社AI商事,東京都,1234567890123,3660000
GOV-TX-001259,外務省,東京都,AI実証実験システム構築,2023-02-20,株式会社ベータコンサルティング,東京都,1234567890123,2810000
GOV-TX-001260,デジタル庁,東京都,調査研究委託費,2023-09-14,株式会社テクノ建設,東京都,1234567890123,1020000
GOV-TX-001261,文部科学省,東京都,ソフトウェアライセンス更新,2020-08-18,（株）大和建設,東京都,1234567890123,1990000
GOV-TX-001262,防衛省,東京都,ヘルプデスク運営業務,2020-10-31,株式会社クリエイティブ建設,東京都,1234567890123,1080000
GOV-TX-001263,文部科学省,東京都,クラウド基盤提供サービス,2022-08-31,株式会社オメガ研究所,東京都,1234567890123,3900000
GOV-TX-001264,株式会社シグマコンサルティング,東京都,広報Webサイト制作,2023-07-04,株式会社第一研究所,東京都,1234567890123,9820000
GOV-TX-001265,デジタル庁,東京都,セキュリティ監査業務,2022-08-25,（株）AI建設,東京都,1234567890123,1700000
GOV-TX-001266,株式会社フロンティアサービス,東京都,広報Webサイト制作,2021-01-24,株式会社データソリューションズ,東京都,1234567890123,2880000
GOV-TX-001267,内閣府,東京都,ヘルプデスク運営業務,2024-04-16,株式会社ネットワーク開発,東京都,1234567890123,1880000
GOV-TX-001268,国土交通省,東京都,クラウド基盤提供サービス,2023-03-29,株式会社シグマソリューションズ,東京都,1234567890123,2210000
GOV-TX-001269,株式会社グローバル通信,東京都,ソフトウェアライセンス更新,2021-01-03,株式会社大和ソリューションズ,東京都,1234567890123,1740000
GOV-TX-001270,外務省,東京都,調査研究委託費,2021-04-03,株式会社アルファ開発,東京都,1234567890123,4820000
GOV-TX-001271,経済産業省,東京都,PC端末等の調達,2021-04-07,株式会社ソリューション開発,東京都,1234567890123,1260000
GOV-TX-001272,財務省,東京都,基幹システム保守運用業務,2023-12-04,株式会社アルファ建設,東京都,1234567890123,1270000
GOV-TX-001273,株式会社ベータソリューションズ,東京都,クラウド基盤提供サービス,2025-01-16,（株）総合通信,東京都,1234567890123,1130000
GOV-TX-001274,厚生労働省,東京都,ネットワーク機器調達,2024-07-07,株式会社クリエイティブ建設,東京都,1234567890123,1270000
GOV-TX-001275,総務省,東京都,クラウド基盤提供サービス,2021-04-28,株式会社クラウド商事,東京都,1234567890123,1070000
GOV-TX-001276,防衛省,東京都,クラウド基盤提供サービス,2023-07-29,株式会社IT建設,東京都,1234567890123,1300000
GOV-TX-001277,防衛省,東京都,AI実証実験システム構築,2024-07-23,株式会社オメガコンサルティング,東京都,1234567890123,1240000
GOV-TX-001278,総務省,東京都,AI実証実験システム構築,2021-09-10,株式会社テクノサービス,東京都,1234567890123,1320000
GOV-TX-001279,総務省,東京都,AI実証実験システム構築,2021-04-14,（株）ネットワークソリューションズ,東京都,1234567890123,6630000
GOV-TX-001280,文部科学省,東京都,AI実証実験システム構築,2023-01-20,株式会社フロンティアコンサルティング,東京都,1234567890123,1590000
GOV-TX-001281,防衛省,東京都,セキュリティ監査業務,2023-06-06,株式会社日本商事,東京都,1234567890123,1740000
GOV-TX-001282,厚生労働省,東京都,AI実証実験システム構築,2023-06-16,（株）フロンティアコンサルティング,東京都,1234567890123,1670000
GOV-TX-001283,総務省,東京都,調査研究委託費,2024-01-27,株式会社シグマコンサルティング,東京都,1234567890123,2380000
GOV-TX-001284,防衛省,東京都,調査研究委託費,2024-01-30,株式会社クリエイティブ研究所,東京都,1234567890123,1030000
GOV-TX-001285,防衛省,東京都,システム更改に伴う開発業務,2020-06-03,（株）フロンティアシステムズ,東京都,1234567890123,2250000
GOV-TX-001286,株式会社システム研究所,東京都,広報Webサイト制作,2024-11-28,株式会社日本商事,東京都,1234567890123,1060000
GOV-TX-001287,株式会社クラウド研究所,東京都,調査研究委託費,2022-07-28,株式会社シグマ研究所,東京都,1234567890123,1020000
GOV-TX-001288,外務省,東京都,システム更改に伴う開発業務,2021-06-29,株式会社データコンサルティング,東京都,1234567890123,1340000
GOV-TX-001289,株式会社ITコンサルティング,東京都,ネットワーク機器調達,2022-05-04,株式会社サイバー研究所,東京都,1234567890123,1860000
GOV-TX-001290,総務省,東京都,システム更改に伴う開発業務,2024-02-07,株式会社テクノシステムズ,東京都,1234567890123,1090000
GOV-TX-001291,財務省,東京都,基幹システム保守運用業務,2021-09-10,日立製作所,東京都,1234567890123,1360000
GOV-TX-001292,内閣府,東京都,広報Webサイト制作,2022-10-07,株式会社日本ソリューションズ,東京都,1234567890123,1350000
GOV-TX-001293,財務省,東京都,広報Webサイト制作,2020-10-20,（株）グローバル通信,東京都,1234567890123,4400000
GOV-TX-001294,厚生労働省,東京都,ソフトウェアライセンス更新,2020-11-12,株式会社データ通信,東京都,1234567890123,3000000
GOV-TX-001295,文部科学省,東京都,システム更改に伴う開発業務,2023-08-27,株式会社テクノ研究所,東京都,1234567890123,1130000
GOV-TX-001296,内閣府,東京都,基幹システム保守運用業務,2022-03-24,株式会社総合コンサルティング,東京都,1234567890123,1490000
GOV-TX-001297,総務省,東京都,セキュリティ監査業務,2024-09-12,株式会社グローバルコンサルティング,東京都,1234567890123,3690000
GOV-TX-001298,株式会社オメガ建設,東京都,ネットワーク機器調達,2021-07-19,（株）データコンサルティング,東京都,1234567890123,1080000
GOV-TX-001299,外務省,東京都,AI実証実験システム構築,2020-04-16,株式会社ソリューション建設,東京都,1234567890123,1160000
GOV-TX-001300,内閣府,東京都,PC端末等の調達,2024-12-13,株式会社アルファ商事,東京都,1234567890123,1590000
GOV-TX-001301,国土交通省,東京都,AI実証実験システム構築,2023-04-15,株式会社ベータ開発,東京都,1234567890123,1060000
GOV-TX-001302,防衛省,東京都,データ分析支援業務,2021-01-21,株式会社ベータサービス,東京都,1234567890123,1180000
GOV-TX-001303,経済産業省,東京都,AI実証実験システム構築,2021-12-02,株式会社ITサービス,東京都,1234567890123,1250000
GOV-TX-001304,内閣府,東京都,データ分析支援業務,2024-08-12,株式会社オメガソリューションズ,東京都,1234567890123,1550000
GOV-TX-001305,防衛省,東京都,広報Webサイト制作,2022-07-10,株式会社アルファ開発,東京都,1234567890123,1990000
GOV-TX-001306,外務省,東京都,クラウド基盤提供サービス,2020-09-27,株式会社システムシステムズ,東京都,1234567890123,1520000
GOV-TX-001307,厚生労働省,東京都,クラウド基盤提供サービス,2024-09-15,株式会社データソリューションズ,東京都,1234567890123,1300000
GOV-TX-001308,防衛省,東京都,クラウド基盤提供サービス,2025-02-16,株式会社日本開発,東京都,1234567890123,1630000
GOV-TX-001309,厚生労働省,東京都,セキュリティ監査業務,2023-04-19,（株）ベータシステムズ,東京都,1234567890123,1350000
GOV-TX-001310,総務省,東京都,ソフトウェアライセンス更新,2021-09-13,株式会社クラウドサービス,東京都,1234567890123,1760000
GOV-TX-001311,財務省,東京都,ソフトウェアライセンス更新,2021-04-11,（株）クリエイティブシステムズ,東京都,1234567890123,4440000
GOV-TX-001312,総務省,東京都,基幹システム保守運用業務,2022-12-14,株式会社ベータコンサルティング,東京都,1234567890123,1100000
GOV-TX-001313,内閣府,東京都,ソフトウェアライセンス更新,2023-12-07,株式会社クリエイティブ建設,東京都,1234567890123,1700000
GOV-TX-001314,財務省,東京都,セキュリティ監査業務,2023-06-18,（株）ネットワーク建設,東京都,1234567890123,1370000
GOV-TX-001315,経済産業省,東京都,基幹システム保守運用業務,2024-06-02,株式会社グローバルシステムズ,東京都,1234567890123,1420000
GOV-TX-001316,国土交通省,東京都,ヘルプデスク運営業務,2023-04-28,富士通株式会社,東京都,1234567890123,1010000
GOV-TX-001317,株式会社シグマ建設,東京都,データ分析支援業務,2022-04-09,株式会社ネットワーク商事,東京都,1234567890123,1110000
GOV-TX-001318,株式会社システム通信,東京都,PC端末等の調達,2021-02-21,株式会社総合研究所,東京都,1234567890123,1430000
GOV-TX-001319,財務省,東京都,ソフトウェアライセンス更新,2024-04-05,（株）フロンティアコンサルティング,東京都,1234567890123,3040000
GOV-TX-001320,総務省,東京都,広報Webサイト制作,2020-06-26,株式会社システム研究所,東京都,1234567890123,3010000
GOV-TX-001321,防衛省,東京都,システム更改に伴う開発業務,2021-11-18,株式会社フロンティアサービス,東京都,1234567890123,7490000
GOV-TX-001322,国土交通省,東京都,広報Webサイト制作,2023-11-16,株式会社フロンティア通信,東京都,1234567890123,3220000
GOV-TX-001323,デジタル庁,東京都,クラウド基盤提供サービス,2021-04-06,株式会社フロンティア開発,東京都,1234567890123,22110000
GOV-TX-001324,財務省,東京都,基幹システム保守運用業務,2021-07-19,株式会社クリエイティブソリューションズ,東京都,1234567890123,1140000
GOV-TX-001325,デジタル庁,東京都,データ分析支援業務,2024-10-08,（株）AIサービス,東京都,1234567890123,2070000
GOV-TX-001326,防衛省,東京都,広報Webサイト制作,2022-03-29,株式会社シグマシステムズ,東京都,1234567890123,1230000
GOV-TX-001327,デジタル庁,東京都,システム更改に伴う開発業務,2023-06-11,株式会社アルファサービス,東京都,1234567890123,1160000
GOV-TX-001328,経済産業省,東京都,調査研究委託費,2020-04-13,株式会社AI研究所,東京都,1234567890123,1030000
GOV-TX-001329,デジタル庁,東京都,広報Webサイト制作,2021-02-28,株式会社データ開発,東京都,1234567890123,7820000
GOV-TX-001330,内閣府,東京都,ソフトウェアライセンス更新,2021-05-28,（株）ベータ研究所,東京都,1234567890123,5540000
GOV-TX-001331,外務省,東京都,データ分析支援業務,2024-01-11,株式会社大和システムズ,東京都,1234567890123,1180000
GOV-TX-001332,防衛省,東京都,データ分析支援業務,2022-01-02,株式会社ソリューション開発,東京都,1234567890123,1630000
GOV-TX-001333,総務省,東京都,基幹システム保守運用業務,2023-01-13,株式会社データシステムズ,東京都,1234567890123,2560000
GOV-TX-001334,内閣府,東京都,クラウド基盤提供サービス,2023-01-06,株式会社グローバルシステムズ,東京都,1234567890123,2160000
GOV-TX-001335,文部科学省,東京都,広報Webサイト制作,2022-01-16,株式会社システム建設,東京都,1234567890123,1830000
GOV-TX-001336,株式会社第一システムズ,東京都,PC端末等の調達,2024-12-26,株式会社ITサービス,東京都,1234567890123,1610000
GOV-TX-001337,外務省,東京都,ヘルプデスク運営業務,2022-01-11,株式会社ソリューション通信,東京都,1234567890123,1400000
GOV-TX-001338,経済産業省,東京都,データ分析支援業務,2022-01-22,株式会社フロンティア建設,東京都,1234567890123,1150000
GOV-TX-001339,財務省,東京都,AI実証実験システム構築,2022-04-28,（株）サイバー商事,東京都,1234567890123,1530000
GOV-TX-001340,日立製作所,東京都,ネットワーク機器調達,2022-01-19,株式会社ITシステムズ,東京都,1234567890123,1640000
GOV-TX-001341,文部科学省,東京都,基幹システム保守運用業務,2022-06-14,株式会社システムソリューションズ,東京都,1234567890123,70840000
GOV-TX-001342,株式会社グローバル商事,東京都,システム更改に伴う開発業務,2024-12-31,株式会社ネットワーク商事,東京都,1234567890123,1020000
GOV-TX-001343,外務省,東京都,システム更改に伴う開発業務,2024-05-20,株式会社サイバーソリューションズ,東京都,1234567890123,5720000
GOV-TX-001344,防衛省,東京都,基幹システム保守運用業務,2023-12-09,（株）アルファ開発,東京都,1234567890123,2160000
GOV-TX-001345,外務省,東京都,データ分析支援業務,2022-10-28,株式会社ネットワーク研究所,東京都,1234567890123,1470000
GOV-TX-001346,財務省,東京都,AI実証実験システム構築,2024-10-02,（株）AI研究所,東京都,1234567890123,22490000
GOV-TX-001347,経済産業省,東京都,システム更改に伴う開発業務,2023-11-20,株式会社第一通信,東京都,1234567890123,1870000
GOV-TX-001348,経済産業省,東京都,セキュリティ監査業務,2021-05-25,株式会社日本開発,東京都,1234567890123,5840000
GOV-TX-001349,国土交通省,東京都,基幹システム保守運用業務,2021-01-22,（株）クラウドシステムズ,東京都,1234567890123,1900000
GOV-TX-001350,株式会社クリエイティブ商事,東京都,セキュリティ監査業務,2022-07-05,株式会社ベータコンサルティング,東京都,1234567890123,94100000
GOV-TX-001351,国土交通省,東京都,ソフトウェアライセンス更新,2022-06-23,株式会社システムソリューションズ,東京都,1234567890123,2350000
GOV-TX-001352,総務省,東京都,データ分析支援業務,2022-08-16,株式会社ソリューションサービス,東京都,1234567890123,3830000
GOV-TX-001353,厚生労働省,東京都,ヘルプデスク運営業務,2021-05-04,株式会社AI商事,東京都,1234567890123,5000000
GOV-TX-001354,文部科学省,東京都,AI実証実験システム構築,2023-05-13,（株）データ研究所,東京都,1234567890123,1460000
GOV-TX-001355,内閣府,東京都,セキュリティ監査業務,2023-02-25,株式会社クリエイティブ通信,東京都,1234567890123,1090000
GOV-TX-001356,文部科学省,東京都,調査研究委託費,2021-03-05,株式会社システムコンサルティング,東京都,1234567890123,1240000
GOV-TX-001357,株式会社大和システムズ,東京都,調査研究委託費,2024-07-01,（株）ベータシステムズ,東京都,1234567890123,1160000
GOV-TX-001358,株式会社テクノ商事,東京都,PC端末等の調達,2023-07-19,株式会社フロンティアソリューションズ,東京都,1234567890123,1160000
GOV-TX-001359,経済産業省,東京都,調査研究委託費,2022-04-06,株式会社ベータソリューションズ,東京都,1234567890123,2110000
GOV-TX-001360,外務省,東京都,ヘルプデスク運営業務,2024-04-08,株式会社ITソリューションズ,東京都,1234567890123,1620000
GOV-TX-001361,経済産業省,東京都,セキュリティ監査業務,2022-03-20,株式会社ベータ商事,東京都,1234567890123,1020000
GOV-TX-001362,国土交通省,東京都,調査研究委託費,2024-03-05,株式会社大和システムズ,東京都,1234567890123,1800000
GOV-TX-001363,国土交通省,東京都,基幹システム保守運用業務,2022-05-01,株式会社フロンティア商事,東京都,1234567890123,1020000
GOV-TX-001364,内閣府,東京都,システム更改に伴う開発業務,2021-01-26,（株）クリエイティブシステムズ,東京都,1234567890123,4460000
GOV-TX-001365,外務省,東京都,ソフトウェアライセンス更新,2020-05-08,株式会社オメガ開発,東京都,1234567890123,1000000
GOV-TX-001366,内閣府,東京都,システム更改に伴う開発業務,2021-10-25,株式会社大和コンサルティング,東京都,1234567890123,1190000
GOV-TX-001367,国土交通省,東京都,基幹システム保守運用業務,2023-02-08,株式会社サイバーソリューションズ,東京都,1234567890123,1620000
GOV-TX-001368,文部科学省,東京都,データ分析支援業務,2022-06-05,株式会社ネットワーク建設,東京都,1234567890123,2180000
GOV-TX-001369,総務省,東京都,AI実証実験システム構築,2021-02-05,（株）大和建設,東京都,1234567890123,5120000
GOV-TX-001370,文部科学省,東京都,ネットワーク機器調達,2021-09-20,株式会社大和通信,東京都,1234567890123,1650000
GOV-TX-001371,財務省,東京都,基幹システム保守運用業務,2020-06-05,株式会社大和建設,東京都,1234567890123,1050000
GOV-TX-001372,外務省,東京都,クラウド基盤提供サービス,2021-01-28,株式会社サイバー開発,東京都,1234567890123,1790000
GOV-TX-001373,文部科学省,東京都,広報Webサイト制作,2021-07-21,株式会社テクノソリューションズ,東京都,1234567890123,1470000
GOV-TX-001374,厚生労働省,東京都,調査研究委託費,2020-12-19,株式会社日本建設,東京都,1234567890123,1650000
GOV-TX-001375,厚生労働省,東京都,ネットワーク機器調達,2020-08-12,（株）AI研究所,東京都,1234567890123,2070000
GOV-TX-001376,デジタル庁,東京都,ネットワーク機器調達,2024-04-08,株式会社オメガソリューションズ,東京都,1234567890123,1100000
